name,sku,subtitle,category1,category2,category3,image,ribbon,ribbonColor,weight,price,recommended_price,quantity,enabled,taxClassCode,shipping_freight,fixed_shipping_rate_only,shippingType,shippingMethodMarkup,shippingFlatRate,shippingDisabledMethods,shippingEnabledMethods,upc,brand,seo_title,seo_description,product_url,product_id
Fluvium Amateur Premium Synthetic Leather Boxing Gloves | Be Fierce | 10Oz & 12Oz,23383,,Fight Gear / Boxing,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4161184265.png,,,0,1595,,13,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Amateur-Premium-Synthetic-Leather-Boxing-Gloves-Be-Fierce-10Oz-&-12Oz/p/634740528,634740528
Fluvium Anti Fighter Fighter Club Hoodie,49,,Apparel,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1215111885.jpg,,,0,1895,,,yes,default,0,yes,FREE_SHIPPING,0,0,,,,,Artist Athlete Collaboration: Captain Crazy Tee,"Fluvium has developed the Artist Athlete Collaboration (AAC) Series to showcase artists, both accomplished and unknown who inspire our generation & constantly push their creative boundaries through their art, be it music, picture or dance. The artists & athletes are made to meet & draw inspiration from each other to invent ideas & designs that embodies a part of themselves.",https://fluviumwear.com/#!/Fluvium-Anti-Fighter-Fighter-Club-Hoodie/p/162074706,162074706
Fluvium Anti Fighter Fighter Club Tee,48,,Apparel,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1215109317.jpg,,,0,899,,,yes,default,0,yes,FREE_SHIPPING,0,0,,,,,Artist Athlete Collaboration: Captain Crazy Tee,"Fluvium has developed the Artist Athlete Collaboration (AAC) Series to showcase artists, both accomplished and unknown who inspire our generation & constantly push their creative boundaries through their art, be it music, picture or dance. The artists & athletes are made to meet & draw inspiration from each other to invent ideas & designs that embodies a part of themselves.",https://fluviumwear.com/#!/Fluvium-Anti-Fighter-Fighter-Club-Tee/p/162082006,162082006
"Fluvium Armour Mouth Guard | Black, Blue, Green, Pink, Red, White, Neon Green, Neon Orange",23280,,Fight Gear / Jiu Jitsu / No Gi,Fight Gear / Boxing,Fight Gear / Jiu Jitsu / Gi,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1955522369.jpg,,,0,295,,,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,Mouth Guard,,https://fluviumwear.com/#!/Fluvium-Armour-Mouth-Guard-Black-Blue-Green-Pink-Red-White-Neon-Green-Neon-Orange/p/289237409,289237409
"Fluvium Armour Mouth Guard | Black, White, Neon Green, Neon Orange",23324,,Fight Gear / Jiu Jitsu / No Gi,Fight Gear / Boxing,Fight Gear / Jiu Jitsu / Gi,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/3160592326.jpg,,,0,499,,,no,default,0,no,GLOBAL_METHODS,0,0,,,,,Mouth Guard,,https://fluviumwear.com/#!/Fluvium-Armour-Mouth-Guard-Black-White-Neon-Green-Neon-Orange/p/481195782,481195782
Fluvium Armour Mouth Guard: Black,22,,Fight Gear / Jiu Jitsu / Gi,Fight Gear / MMA,Fight Gear / Jiu Jitsu / No Gi,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1106826875.jpg,,,0,499,,,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,Protect your mouth from unexpected punches with the Fluvium Armour Series Mouthguard. The mouthguard features a shock-absorption inner layer surrounded by a rigid outer layer specifically designed for upper and lower jaw protection. The mouthguard offers a customized fit with a boil and bite design for just the right fit.,https://fluviumwear.com/#!/Fluvium-Armour-Mouth-Guard-Black/p/123079824,123079824
"Fluvium Athletic Finger Tape | Pack of Three | 0.25"" x 82'",57,,Fight Gear / Jiu Jitsu / Gi,Athlete Wellness,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1650481722.jpg,,,0,499,,44,yes,default,0,yes,FREE_SHIPPING,0,0,,,,,,"Curtail Plastic, Save Environment: We have embarked on an ambitious mission to exclude any plastic in our packaging or storage. To that end we are introducing jute drawstring bags to house your BJJ Gi's/Boxing Gloves & MMA Gloves. By using or promoting the use of these jute bags, not only will you be supporting the environment, but also small scale artisans who depend on this for their livelihood.",https://fluviumwear.com/#!/Fluvium-Athletic-Finger-Tape-Pack-of-Three-0-25-x-82/p/202311145,202311145
"Fluvium Athletic Finger Tape | Pack of Three | 0.3"" x 82' | Black",23274,,Athlete Wellness,Fight Gear / Jiu Jitsu / Gi,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1681721130.jpg,,,0,499,,0,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Athletic-Finger-Tape-Pack-of-Three-0-3-x-82-Black/p/239598127,239598127
Fluvium BJJ Gi/Kimono | Gentle Art,23384,,Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4439654835.png,,,0,9495,,48,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-BJJ-Gi-Kimono-Gentle-Art/p/681054248,681054248
Fluvium BJJ Gi/Kimono | Legacy Series | Be Water,23357,,Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4005937927.jpg,,,0,9495,,47,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,Fluvium Abstract : Full Sleeve Rashguard,"The Fluvium Abstract full sleeve Rash Guard is developed and designed by passionate artists in the hope of awakening the artist in you. Whether you choose to wear the rashguard to train jiu jitsu, MMA, surf or even head to the gym to lift some weights, we hope you are inspired to step outside your comfort zone to try new moves, techniques or use new methods.",https://fluviumwear.com/#!/Fluvium-BJJ-Gi-Kimono-Legacy-Series-Be-Water/p/611120504,611120504
