name,slug,optionValue,variantSku,description,variantPrice,variantTaxCategory,variantStockOnHand,variantTrackInventory,assets,channelCode,category,subcategory,brand
Aachi Chilli Powder,aachi-chilli-powder,500gm,AAC011,"<p>Aachi Chilli Powder is selected from the field, cleaned, powdered and packed hygienically with the best quality. Aachi chilli powder helps to increase the shelf life and keep the aroma for long time. It gives more spicy and tasty to your favourite dishes.</p>",200,GST5,0,TRUE,aachi-chilli-powder-500gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Chilli Powder,aachi-chilli-powder,200gm,AAC012,"<p>Aachi Chilli powder is the best quality Red Chilli is choose from the field, cleaned, powdered and packed hygienically. The Packing is tamper proof that helps to increase the shelf life and keep the aroma for long time!</p><ul><li>This is a Vegetarian product.</li><li>Used in any types dishes and salads </li><li>Gives the best color and the taste to the food.</li></ul>",55,GST5,0,TRUE,aachi-chilli-powder-200g.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Compounded Powder (asafoetida),aachi-compounded-powder-(asafoetida),50gm,AAC013,"<p>Aachi Asafoetida taste is sour and acrid however, when fried evenly, it adds superb aroma and taste. It makes the dishes easier to digest</p>",60,GST12,0,TRUE,aachi-compounded-powder-asafoetida-50gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Coriander Powder,aachi-coriander-powder,500gm,AAC014,"<p>Aachi sources best quality coriander seeds from the potential growing regions of India â€“ Madhya Pradesh and Rajasthan. Cold Grinding Technology (Germany) helps to retain characteristics aroma, taste and color of coriander powder at its best.</p><ul><li><span class=""redactor-invisible-space""><span class=""redactor-invisible-space"">This is Vegetaraian product.</span></span></li><li>Used in any dishes and salads.</li><li>Gives the best taste and color.</li></ul><p><br></p>",25,GST5,0,TRUE,aachi-coriander-powder-100g-500g-and-1kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Coriander Powder,aachi-coriander-powder,1kg,AAC015,"<p>Aachi sources best quality coriander seeds from the potential growing regions of India â€“ Madhya Pradesh and Rajasthan. Cold Grinding Technology (Germany) helps to retain characteristics aroma, taste and color of coriander powder at its best.</p><ul><li><span class=""redactor-invisible-space""><span class=""redactor-invisible-space"">This is Vegetaraian product.</span></span></li><li>Used in any dishes and salads.</li><li>Gives the best taste and color.</li></ul><p><br></p>",49,GST5,0,TRUE,aachi-coriander-powder-100g-500g-and-1kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Coriander Powder,aachi-coriander-powder,100gm,AAC016,"<p>Aachi Coriander Powder sprinkle a little on your favourite dish, its natural green colour makes the dish look even more delicious. This powdered coriander is good for digestion, it also increases appetite. It is store it in an airtight container to preserve its aroma that helps to increase the shelf life and keep the aroma for long time.</p>",22,GST5,0,TRUE,aachi-coriander-powder-100gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
"Aachi Cumin Powder, pouch","aachi-cumin-powder,-pouch",100gm,AAC017,"<p>Selected cumin variety is ground and packed hygienically. Aachi cumin powder can be used for making curry, rasam, soup and omelette also. It gives good refreshment with butter milk.</p>",49,GST5,0,TRUE,aachi-cumin-powder-pouch-100gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Gulab Jamun Mix (Buy 1 Get 1 Free),aachi-gulab-jamun-mix-(buy-1-get-1-free),160gm,AAC018,"<p>Aachi Gulab Jamun Mix , is a special sweet of all times that contains Maida, skimmed Milk Powder. Edible vegetable fats.</p>",125,GST12,0,TRUE,aachi-gulab-jamun-mix-buy-1-get-1-free-160g.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Kashmiri Chilli Powder,aachi-kashmiri-chilli-powder,1kg,AAC019,"<p>Aachi chilli powder is  prepared by the red chillies of the finest quality characterized by their bright red color and mild pungency, selected, cleaned, ground and packed scientifically & hygienically to preserve their color, flavor and longer shelf life.</p><ul><li>This is a Vegetarian product.</li><li>No artificial colours added.</li><li>Packed hygienic</li><li><span></span>Aachi is a fond reference to grand mother in Chettinad Tamil</li></ul>",286,GST5,0,TRUE,aachi-kashmiri-chilli-powder-1kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Kulambu Chilli Masala,aachi-kulambu-chilli-masala,500gm,AAC020,"<p>Aachi Kulambu chilli powder may be 
used for Fish curry, Dry fish curry, Egg curry, Tamarind curry, Kara 
curry, Fenugreek curry. Ingredients Chilli, salt, coriander, pepper, 
Fenugreek, cumin seeds, Fennel, Tur dhall, Turmeric, Mustard, Curry 
leaves.</p>",149,GST5,0,TRUE,aachi-kulambu-chilli-masala-500g.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
"Aachi Mutton Masala, pouch","aachi-mutton-masala,-pouch",200gm,AAC021,<p>Aachi Mutton Masala is used to cook mutton gravy. It's preferred by using Indian spice. It gives good flavor for the food.</p>,105,GST5,0,TRUE,aachi-mutton-masala-pouch-200gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Powder,aachi-powder,100gm,AAC022,"<p>Sambar Powder is a necessary ingredient to make Sambar, well-liked south Indian gravy. Sambar is generally eaten with rice, rice cakes and lentil donuts (Vadas).</p>",41,GST12,0,TRUE,aachi-powder-sambar-pouch-100gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Pure Chilly Powder,aachi-pure-chilly-powder,500gm,AAC023,"<p>Aachi Chilli Powder is selected from the field, cleaned, powdered and packed hygienically with the best quality. Aachi chilli powder helps to increase the shelf life and keep the aroma for long time. It gives more spicy and tasty to your favourite dishes.</p>",175,GST12,0,TRUE,aachi-pure-chilly-powder-500gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Rasam Powder,aachi-rasam-powder,100gm,AAC024,"<p>Aachi Rasam Powder  is very close to soup & is served as a starter in various places. Mainly it is one of the most important dish in South Indian launch menu.</p><ul><li>Has lot medicinal properties and good for digestion </li><li>Aachi rasam powder suitable for all type of rasam, ( tomato rasam, parupu rasam and many more)</li></ul>",81,GST5,0,TRUE,aachi-rasam-powder-100g-500g-and-1kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Rasam Powder,aachi-rasam-powder,500gm,AAC025,"<p>Aachi Rasam Powder  is very close to soup & is served as a starter in various places. Mainly it is one of the most important dish in South Indian launch menu.</p><ul><li>Has lot medicinal properties and good for digestion </li><li>Aachi rasam powder suitable for all type of rasam, ( tomato rasam, parupu rasam and many more)</li></ul>",195,GST5,0,TRUE,aachi-rasam-powder-100g-500g-and-1kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Rasam Powder,aachi-rasam-powder,1kg,AAC026,"<p>Aachi Rasam Powder  is very close to soup & is served as a starter in various places. Mainly it is one of the most important dish in South Indian launch menu.</p><ul><li>Has lot medicinal properties and good for digestion </li><li>Aachi rasam powder suitable for all type of rasam, ( tomato rasam, parupu rasam and many more)</li></ul>",335,GST5,0,TRUE,aachi-rasam-powder-100g-500g-and-1kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Rava Idly Mix,aachi-rava-idly-mix,500gm,AAC027,"<p>Aachi Rava idly is a south Indian recipe. Rava idly goes well with 
coconut chutney ,vegetable sambar and curry leaves chutney. It is made 
with simple ingredients such as Rava, Rice flour, Bengal gram dhal, 
Salt, Edible vegetable fat, Mustard, Curry leaves and Ginger.</p>",55,GST5,0,TRUE,aachi-rava-idly-mix-500g.jpg,stalks-n-spice,"Breakfast, Dairy & Frozen Food",Baking & Custard Powder,Aachi
